country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","25-10-2025 18:00:00",26.446912,91.439057,NH3,5,7,6
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","25-10-2025 18:00:00",26.446912,91.439057,SO2,4,8,8
India,Assam,Silchar,"Tarapur, Silchar - PCBA","25-10-2025 18:00:00",24.82827,92.79525,PM10,35,64,45
India,Assam,Silchar,"Tarapur, Silchar - PCBA","25-10-2025 18:00:00",24.82827,92.79525,CO,34,46,40
India,Assam,Silchar,"Tarapur, Silchar - PCBA","25-10-2025 18:00:00",24.82827,92.79525,OZONE,1,6,3
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","25-10-2025 18:00:00",26.987634,94.636574,PM2.5,5,53,25
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","25-10-2025 18:00:00",26.987634,94.636574,SO2,7,11,9
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","25-10-2025 18:00:00",26.146529,87.454184,PM10,50,121,79
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","25-10-2025 18:00:00",26.146529,87.454184,NO2,3,52,17
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","25-10-2025 18:00:00",16.536107,80.594233,NO2,20,21,20
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","25-10-2025 18:00:00",16.509717,80.612222,PM2.5,45,57,50
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","25-10-2025 18:00:00",16.554731,80.649110,CO,34,57,39
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","25-10-2025 18:00:00",16.554731,80.649110,OZONE,44,309,72
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-10-2025 18:00:00",17.72,83.3,NO2,11,67,27
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","25-10-2025 18:00:00",27.103358,93.679645,PM10,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","25-10-2025 18:00:00",27.103358,93.679645,NO2,5,6,6
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","25-10-2025 18:00:00",25.251013,86.989001,SO2,27,88,63
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","25-10-2025 18:00:00",25.251013,86.989001,OZONE,7,29,16
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","25-10-2025 18:00:00",25.204762,85.514960,PM10,44,144,100
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","25-10-2025 18:00:00",25.204762,85.514960,NO2,9,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","25-10-2025 18:00:00",25.567520,83.966379,NO2,9,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","25-10-2025 18:00:00",25.567520,83.966379,CO,22,28,25
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","25-10-2025 18:00:00",25.7808257,84.7446768,PM10,48,95,74
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","25-10-2025 18:00:00",14.465052,78.824187,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","25-10-2025 18:00:00",14.465052,78.824187,SO2,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","25-10-2025 18:00:00",16.9872867,81.7363176,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","25-10-2025 18:00:00",13.67,79.35,PM2.5,18,64,34
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","25-10-2025 18:00:00",13.67,79.35,NH3,1,2,2
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","25-10-2025 18:00:00",13.615387,79.409230,NH3,4,4,4
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","25-10-2025 18:00:00",13.615387,79.409230,OZONE,29,30,29
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","25-10-2025 18:00:00",25.697189,85.245900,SO2,3,8,5
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","25-10-2025 18:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","25-10-2025 18:00:00",25.560083,87.553265,SO2,10,20,16
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","25-10-2025 18:00:00",26.0881305,87.93840336,SO2,6,8,7
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","25-10-2025 18:00:00",27.308328,84.531742,SO2,16,17,17
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","25-10-2025 18:00:00",25.5626095,84.663264,PM10,27,50,34
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","25-10-2025 18:00:00",25.5626095,84.663264,NO2,5,8,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","25-10-2025 18:00:00",25.5626095,84.663264,OZONE,7,9,8
