city,latitude,longitude,avg_pollution
Nalbari,26.446912,91.439057,43.14
Silchar,24.828270,92.795250,21
Sivasagar,26.987634,94.636574,16.29
Araria,26.146529,87.454184,36
Vijayawada,16.536107,80.594233,35.83
Vijayawada,16.509717,80.612222,31.71
Vijayawada,16.554731,80.649110,55.5
Visakhapatnam,17.720000,83.300000,27.71
Naharlagun,27.103358,93.679645,9.8
Bhagalpur,25.251013,86.989001,36
"Bihar Sharif",25.204762,85.514960,45.57
Buxar,25.567520,83.966379,25.86
Chhapra,25.780826,84.744677,27.14
Tirumala,13.670000,79.350000,18
Tirupati,13.615387,79.409230,19.2
Hajipur,25.697189,85.245900,64.86
Katihar,25.560083,87.553265,36.14
Kishanganj,26.088131,87.938403,38.57
Manguraha,27.308328,84.531742,28.71
Arrah,25.562610,84.663264,20.71
Aurangabad,24.757460,84.366208,40.83
Bettiah,26.803650,84.519540,45.86
Byrnihat,26.071318,91.874880,39.5
Guwahati,26.202864,91.700464,20
Nagaon,26.349082,92.684490,6.25
Gaya,24.792403,84.992416,65.29
Motihari,26.630860,84.900510,20.71
Munger,25.376776,86.471523,33.86
Muzaffarpur,26.114420,85.398130,51.14
Muzaffarpur,26.140335,85.365019,38.86
Muzaffarpur,26.120900,85.364700,32.6
Chandigarh,30.735567,76.775714,70.57
Chandigarh,30.751462,76.762879,39.14
Chandigarh,30.719859,76.738637,48.29
Bhilai,21.194815,81.314770,22.71
Bhilai,21.185571,81.343175,26.43
Patna,25.599486,85.113666,44.57
Patna,25.596727,85.085624,111.43
Purnia,25.366336,87.117468,33
Rajgir,25.032800,85.419480,36.86
Saharsa,25.892357,86.590325,32.43
Delhi,28.695381,77.181665,133.29
Delhi,28.470691,77.109936,162.2
Delhi,28.776200,77.051074,128.86
Delhi,28.725650,77.201157,163.4
Delhi,28.551201,77.273574,172.6
Patna,25.586562,85.043586,64.71
Patna,25.592539,85.227158,38
Patna,25.610369,85.132568,48
Patna,25.619651,85.147382,41.29
Raipur,21.237755,81.705301,19.57
Tumidih,22.066315,83.338201,55
Delhi,28.647622,77.315809,147.43
Bhilai,21.224231,81.408350,27
Bilaspur,22.088150,82.137370,44.4
Chhal,22.118125,83.140608,48.29
Korba,22.348441,82.549611,32
Samastipur,25.859655,85.779440,30.29
Sasaram,24.952822,84.002396,32.43
Siwan,26.227167,84.357043,50.5
Raipur,21.219665,81.630094,18
Delhi,28.550425,77.215938,98
Delhi,28.531346,77.190156,73.86
Delhi,28.672342,77.315260,118.86
Delhi,28.639652,77.146275,109.86
Delhi,28.636110,77.173332,130.2
Delhi,28.563262,77.186937,105.33
Delhi,28.732528,77.119920,123.57
Delhi,28.651478,77.147311,116.14
Delhi,28.699793,77.165453,155.29
Ahmedabad,23.107969,72.574648,53.86
Ahmedabad,22.977134,72.553024,42.71
Ahmedabad,23.002657,72.591912,71.33
Delhi,28.681174,77.302523,96.14
Delhi,28.628624,77.241060,97.57
Delhi,28.732820,77.170633,126.43
Ahmedabad,23.020509,72.579261,57.57
Ahmedabad,23.016834,72.625775,48.29
Ahmedabad,23.023389,72.515201,36.43
Delhi,28.567890,77.250515,126.43
Delhi,28.530785,77.271255,132.57
Delhi,28.623763,77.287209,129.14
Delhi,28.674045,77.131023,125.43
Delhi,28.571027,77.071901,142.71
Delhi,28.580280,77.233829,137
Delhi,28.588333,77.221667,153.75
Delhi,28.609090,77.032541,100.57
Delhi,28.570173,76.933762,45.6
Baddi,30.943887,76.801991,60
Srinagar,34.066206,74.819820,35
Dhanbad,23.805690,86.442680,74.67
Belgaum,15.888653,74.541751,25
Bengaluru,12.913522,77.595080,31.86
Gandhinagar,23.221714,72.654328,31.43
Nandesari,22.410802,73.097923,138.33
Vapi,20.362421,72.918013,31.67
Vatva,22.969611,72.643500,36
Ambala,30.379589,76.778328,71.33
Dharuhera,28.206800,76.799700,104.57
Faridabad,28.390720,77.300590,69.29
Faridabad,28.441700,77.321700,67
Fatehabad,29.503664,75.467934,85.29
Kaithal,29.800600,76.415500,91.86
Karnal,29.695300,77.002700,66.14
Kurukshetra,29.966942,76.875879,22
Mandikhera,27.900200,76.993800,42
Ballabgarh,28.341925,77.319699,75.43
Bhiwani,28.806223,76.141105,53
"Charkhi Dadri",28.593883,76.270653,73
Panipat,29.432304,76.972765,91
Sirsa,29.536400,75.015800,70.57
"Yamuna Nagar",30.148057,77.289347,84.14
Ankleshwar,21.613267,73.010555,47.86
Gandhinagar,23.163798,72.677768,54.86
Gandhinagar,23.243639,72.689940,41.71
Gurugram,28.422700,77.066700,114.29
Gurugram,28.450124,77.026305,80.33
Hisar,29.140560,75.744941,75.71
Jind,29.307814,76.337619,74.29
Manesar,28.360699,76.936090,92.14
Narnaul,28.060249,76.113115,41.71
Palwal,28.148556,77.332067,44.71
Dharwad,15.459706,75.008381,27.14
Gadag,15.411456,75.638133,11.25
Hassan,13.008556,76.125258,24.29
Haveri,14.791800,75.389600,33.86
Chamarajanagar,11.553580,76.555210,20.71
Chikkamagaluru,13.328028,75.797056,23.33
Bengaluru,12.935205,77.681449,33.5
Bengaluru,12.951913,77.539784,30
Bengaluru,12.975684,77.566075,60.75
Bengaluru,13.029152,77.585901,15.2
Bengaluru,12.938539,77.590100,16.57
Bengaluru,12.920984,77.584908,20.43
Bengaluru,12.781628,77.629915,28.29
Bengaluru,13.003872,77.664217,34
Bengaluru,13.027020,77.494094,31.86
Bengaluru,12.921418,77.502466,19.4
Bengaluru,13.024634,77.508012,35.43
Hubballi,15.351773,75.140726,20.86
Hubballi,15.371482,75.116017,13.71
Kalaburagi,17.336318,76.847397,19.14
Madikeri,12.415911,75.735050,14.2
Ramanagara,12.733409,77.298051,29.33
Yadgir,16.760200,77.142800,15.17
Katni,23.500160,80.232840,70.86
Maihar,24.261301,80.723178,50.2
Mandideep,23.108440,77.511428,83.86
Pithampur,22.624758,75.675238,63.14
Sagar,23.838586,78.759431,62.43
Singrauli,24.108970,82.645580,63.29
Akola,20.719516,77.000253,17.86
Aurangabad,19.863756,75.321188,49
Belapur,19.024390,73.040672,17
Bhiwandi,19.309073,73.057223,26.29
Boisar,19.786089,72.757971,25.43
Dewas,22.968259,76.064118,56.57
Gwalior,26.203442,78.193251,54.14
Gwalior,26.259242,78.216432,89.57
Gwalior,26.200388,78.147714,85.43
Indore,22.728900,75.807600,29.8
Indore,22.431000,75.521300,56.14
Amravati,20.940236,77.789525,26
Amravati,20.939198,77.765701,21.71
Aurangabad,19.838944,75.244448,23.17
Jabalpur,23.163174,79.973061,43.71
Jabalpur,23.142888,79.916147,60.57
Jabalpur,23.168606,79.932247,61.71
Jabalpur,23.218135,79.957770,74
Kannur,11.875000,75.373200,25.43
Thiruvananthapuram,8.563700,76.886500,18.86
Thiruvananthapuram,8.514909,76.943588,21.86
Bhopal,23.210494,77.425409,63.43
Bhopal,23.233584,77.400574,69.29
Jalna,19.854616,75.905894,19.43
Kalyan,19.252920,73.142019,35
Kalyan,19.192056,72.958519,22.71
Kolhapur,16.687045,74.250587,12.29
Latur,18.399630,76.574520,14.57
